lat,lon,id
1.338510655,103.8709406,1
1.33858315,103.8705085,2
1.319235196,103.8619037,3
1.331066711,103.8687039,4
1.33114814,103.8693332,5
1.300028488,103.8383993,6
1.299714697,103.7875655,7
1.296046213,103.8504743,8
1.296858921,103.8513273,9
1.297014433,103.8502499,10
1.297551485,103.8501575,11
1.297535452,103.8504232,12
1.293370548,103.8563056,13
1.34952006,103.7497666,14
1.28540646,103.8434762,15
1.348405376,103.7491184,16
1.349561075,103.749974,17
1.35906498,103.7517266,18
1.359069846,103.7520764,19
1.359297853,103.751951,20
1.338420696,103.7061455,21
1.338738108,103.7059552,22
1.338279988,103.705409,23
1.34430417,103.7217128,24
1.344081457,103.7210754,25
1.425125949,103.7617547,26
1.424852645,103.7619406,27
1.424739171,103.7620185,28
1.432469523,103.7738205,29
1.432801695,103.7742105,30
1.318215992,103.8927883,31
1.318347467,103.8922172,32
1.381953621,103.8446458,33
1.381644407,103.8448342,34
1.38154752,103.8449468,35
1.436752791,103.7863937,36
1.437094408,103.7872249,37
1.436596431,103.7858442,38
1.440596286,103.8005425,39
1.302648162,103.7979583,40
1.285759456,103.8269906,41
1.286361941,103.8274964,42
1.265259884,103.8225317,43
1.265154682,103.8205088,44
1.304560474,103.8320398,45
1.304892178,103.8325243,46
1.312597796,103.8378813,47
1.312075462,103.8382191,48
1.440345661,103.8009895,49
1.44883732,103.8201097,50
1.44876826,103.8197902,51
1.429397167,103.8347836,52
1.429106508,103.8348635,53
1.417544707,103.8328869,54
1.417058213,103.8329224,55
1.417143418,103.8327067,56
1.448927331,103.8204016,57
1.372886236,103.9491369,58
1.372841969,103.9493334,59
1.353764013,103.9447663,60
1.353398313,103.944904,61
1.385736186,103.7445178,62
1.385431281,103.7445571,63
1.304161138,103.8327708,64
1.303167535,103.8321716,65
1.300766519,103.838459,66
1.298445092,103.846788,67
1.299055891,103.8452296,68
1.299748471,103.8453723,69
1.299634892,103.8458423,70
1.300006941,103.8556857,71
1.293227111,103.8530204,72
1.293099919,103.8519602,73
1.300782199,103.8563366,74
1.301204089,103.8559241,75
1.281602429,103.8386577,76
1.281675346,103.8389348,77
1.276671742,103.8465446,78
1.276408501,103.844834,79
1.27608923,103.8465336,80
1.276064828,103.8469088,81
1.275708909,103.8549486,82
1.285258282,103.8516217,83
1.283211582,103.8515226,84
1.284606874,103.85148,85
1.285016898,103.8514781,86
1.284125148,103.8514384,87
1.283641391,103.8513532,88
1.299930666,103.8450301,89
1.280213354,103.8403868,90
1.278946956,103.8395492,91
1.279051238,103.8385373,92
1.341068992,103.8464295,93
1.281150425,103.8393748,94
1.281357228,103.8394179,95
1.280993276,103.8397892,96
1.311415433,103.7783047,97
1.311693192,103.7784648,98
1.338629508,103.70565,99
1.338514121,103.7053534,100
1.338273222,103.705795,101
1.349389587,103.749937,102
1.327502084,103.6785207,103
1.327956112,103.6786441,104
1.385705391,103.7442236,105
1.425124959,103.7624968,106
1.432751372,103.7744105,107
1.432751361,103.7739971,108
1.26497196,103.8215803,109
1.265979255,103.8213989,110
1.266013183,103.8204684,111
1.283712771,103.8437979,112
1.287805753,103.8459034,113
1.289199258,103.8465939,114
1.305605251,103.84936,115
1.306351554,103.8497048,116
1.307426445,103.8503222,117
1.312453606,103.8529746,118
1.311910679,103.8532668,119
1.312326909,103.8547727,120
1.312259037,103.855501,121
1.311765877,103.8558067,122
1.311883508,103.8560989,123
1.317914816,103.8607068,124
1.332801352,103.8689664,125
1.29966076,103.8641517,126
1.322534633,103.8149769,127
1.317493726,103.8079652,128
1.317552016,103.8073892,129
1.310711201,103.7957538,130
1.311220265,103.7961391,131
1.282834908,103.8595969,132
1.282705224,103.8597592,133
1.341582215,103.7754507,134
1.35105322,103.8502011,135
1.350579599,103.848305,136
1.320106876,103.8615024,137
1.392370844,103.8957055,138
1.289383852,103.8466658,139
1.326678759,103.8897933,140
1.32585503,103.8906657,141
1.32548153,103.8902626,142
1.334620877,103.8882141,143
1.343501062,103.8789087,144
1.342248749,103.8802559,145
1.3497277,103.8735465,146
1.34948168,103.8739574,147
1.349901593,103.8743219,148
1.350595105,103.873694,149
1.350948278,103.8714493,150
1.351738538,103.8629183,151
1.351439103,103.8649337,152
1.347866073,103.8400589,153
1.348980386,103.839088,154
1.299649242,103.8447479,155
1.33782387,103.8398118,156
1.337105317,103.8394067,157
1.335321724,103.961943,158
1.335252944,103.9620753,159
1.440152397,103.8005335,160
1.440533388,103.8013645,161
1.36944053,103.8493433,162
1.280967424,103.8587319,163
1.281104637,103.858441,164
1.282834354,103.8594938,165
1.353539081,103.9450896,166
1.372141835,103.891975,167
1.370208578,103.8924457,168
1.360205623,103.8847217,169
1.36002801,103.8854506,170
1.359707589,103.8843074,171
1.319517275,103.9028941,172
1.319562546,103.9025821,173
1.321152108,103.9128993,174
1.32092376,103.9129411,175
1.323568636,103.9291571,176
1.324268343,103.9296731,177
1.369685322,103.8495961,178
1.369464707,103.849939,179
1.35106444,103.8483123,180
1.351034838,103.8484329,181
1.350584912,103.8482093,182
1.340672164,103.8474408,183
1.340744319,103.8464065,184
1.405186241,103.9025982,185
1.404300626,103.9021156,186
1.383409791,103.8928838,187
1.382649723,103.8934632,188
1.429116815,103.8350908,189
1.429636292,103.8348655,190
1.429665598,103.8356437,191
1.350790199,103.8728667,192
1.349833738,103.8736413,193
1.350820245,103.8729021,194
1.335914085,103.8876274,195
1.319529919,103.9032152,196
1.449156837,103.819759,197
1.371946116,103.8929724,198
1.356341421,103.9892766,199
1.357220256,103.9873046,200
1.293586401,103.8549202,201
1.292904337,103.8558552,202
1.292927187,103.8561757,203
1.283630521,103.8515625,204
1.282626234,103.851296,205
1.282538575,103.8509609,206
1.282382307,103.8514333,207
1.276259101,103.8470958,208
1.277379488,103.8469276,209
1.27778454,103.8469531,210
1.275450905,103.8464451,211
1.293128813,103.8555678,212
1.293819507,103.8551046,213
1.292623744,103.8558338,214
1.293862088,103.8601369,215
1.300169689,103.863506,216
1.303370226,103.8762262,217
1.302511088,103.8744,218
1.306045926,103.8832483,219
1.30675271,103.8825975,220
1.308814188,103.8893072,221
1.30809675,103.8879793,222
1.318149285,103.8917211,223
1.316587719,103.8920777,224
1.332315536,103.8475776,225
1.332994102,103.8473198,226
1.319895886,103.8433397,227
1.321094868,103.8443893,228
1.333278746,103.8465174,229
1.33986722,103.8710538,230
1.392144537,103.8801428,231
1.389379008,103.8860844,232
1.389180161,103.8859621,233
1.386697956,103.8904092,234
1.386814144,103.8904382,235
1.384176386,103.8973217,236
1.384104883,103.8972239,237
1.384074503,103.9021476,238
1.383765203,103.9022764,239
1.388185385,103.9054456,240
1.387840799,103.9054821,241
1.391340486,103.9060188,242
1.391414242,103.9061058,243
1.394327522,103.9006165,244
1.394534172,103.9007066,245
1.416664068,103.9066933,246
1.416914768,103.9068178,247
1.411772773,103.9000738,248
1.411910324,103.9005316,249
1.408368431,103.8983357,250
1.408487902,103.8987571,251
1.391795637,103.8956369,252
1.39182912,103.8954057,253
1.390881586,103.8952094,254
1.405339576,103.902306,255
1.404438337,103.9017985,256
1.405014925,103.8970299,257
1.4052449,103.8974086,258
1.405284614,103.9087922,259
1.402507132,103.9126461,260
1.399809263,103.9163875,261
1.39668105,103.9089658,262
1.397121689,103.9088695,263
1.399124394,103.9059287,264
1.380317657,103.7451011,265
