id,lon,lat
The Adelphi Singapore,103.8512167,1.2911845
The Paragon Singapore,103.8360565,1.3039633
Tiong Bahru Plaza Singapore,103.8271508,1.2864763
The Poiz Singapore,103.8674327,1.3310663
Thomson Plaza Singapore,103.8308,1.3548
United Square Singapore,103.8436045,1.3171849
Velocity@Novena Square Singapore,103.8439137,1.3200049
Wheelock Place Singapore,103.8305375,1.3047145
Wisma Atria Singapore,103.8332642,1.3037148
Zhongshan Mall Singapore,103.8464431,1.3270618
Bedok Mall Singapore,103.9293061,1.3243963
Bedok Point Singapore,103.9323811,1.3249305
Century Square Singapore,103.9438567,1.3523888
Our Tampines Hub Singapore,103.9403612,1.3531079
Changi City Point Singapore,103.9627387,1.3342732
Downtown East Singapore,103.9546233,1.3776279
Djitsun Mall Bedok Singapore,103.9295407,1.3261273
Eastpoint Mall Singapore,103.9530415,1.3427145
Jewel Changi Airport Singapore,103.9897593,1.3602082
KINEX  Singapore,103.8947554,1.3147221
Katong Shopping Centre Singapore,103.9011732,1.303903
Katong Square Singapore,103.9046894,1.3047255
Kallang Wave Mall Singapore,103.8728714,1.3032243
Leisure Park Kallang Singapore,103.8765402,1.3023423
i12 Katong Singapore,103.9051599,1.3052934
Parkway Parade Singapore,103.9052333,1.3013366
Paya Lebar Square Singapore,103.8925321,1.3191484
Paya Lebar Quarter  Singapore,103.8928037,1.3175284
Roxy Square Singapore,103.9043811,1.3039864
Singpost Centre Singapore,103.894049,1.318903
Tampines 1 Singapore,103.9453692,1.3540351
Tampines Mall Singapore,103.9450627,1.3522589
White Sands Singapore,103.9496584,1.3724166
City Plaza Singapore,103.8934127,1.3147665
Elias Mall Singapore,103.9418722,1.3783052
Loyang Point Singapore,103.9645538,1.3669795
888 Plaza Singapore,103.7955224,1.438178
Admiralty Place Singapore,103.8014491,1.440093
AMK Hub Singapore,103.8484398,1.36953
Canberra Plaza Singapore,103.8305883,1.443306
Causeway Point Singapore,103.7859471,1.4360933
Woodlands Civic Centre Singapore,103.78678,1.4349053
Broadway Plaza Singapore,103.8459981,1.3719487
Djitsun Mall Singapore,103.8477199,1.3728776
Jubilee Square Singapore,103.8476215,1.3717025
Junction 9 Singapore,103.8418547,1.4330624
Marsiling Mall Singapore,103.7797206,1.4334272
Northpoint City Singapore,103.8358671,1.4293478
Sembawang Shopping Centre Singapore,103.8248907,1.4418355
Sun Plaza Singapore,103.8196887,1.4482678
Vista Point Singapore,103.7940801,1.4308341
Wisteria Mall Singapore,103.8411267,1.418208
Woodlands Mart Singapore,103.7979427,1.4459095
Woodlands North Plaza Singapore,103.7907333,1.4426674
Waterway Point Singapore,103.9023987,1.4066991
Compass One Singapore,103.89505,1.3920064
Hougang Mall Singapore,103.8937225,1.3725894
Heartland Mall Singapore,103.8851289,1.359469
NEX Singapore,103.8722585,1.3507723
Greenwich V Singapore,103.8690715,1.3874274
Hougang 1 Singapore,103.8791547,1.3760614
Hougang Green Shopping Mall Singapore,103.8880715,1.3795596
myVillage At Serangoon Garden Singapore,103.8652075,1.3650699
Northshore Plaza Singapore,103.9061276,1.4185687
Oasis Terraces Singapore,103.9132022,1.4023703
Punggol Plaza Singapore,103.913016,1.394228
Rivervale Mall Singapore,103.9044463,1.3922624
Rivervale Plaza Singapore,103.9018653,1.385387
The Seletar Mall Singapore,103.8760834,1.3915208
Buangkok Square Singapore,103.8819612,1.3847829
Upper Serangoon Shopping Centre Singapore,103.8786057,1.3539639
Beauty World Centre Singapore,103.7763425,1.342311
Beauty World Plaza Singapore,103.7763341,1.341779
Bukit Panjang Plaza Singapore,103.7642339,1.3800396
Bukit Timah Plaza Singapore,103.7786758,1.3387468
Fajar Shopping Centre Singapore,103.7705214,1.3838672
Greenridge Shopping Centre Singapore,103.7663598,1.3854081
Hillion Mall Singapore,103.7632117,1.3784819
HillV2 Singapore,103.7643204,1.363354
Junction 10 Singapore,103.7601697,1.3803079
Keat Hong Shopping Centre Singapore,103.7445833,1.3769332
Limbang Shopping Centre Singapore,103.7433578,1.3920533
Lot One Singapore,103.7449142,1.3851169
Rail Mall Singapore,103.7678472,1.3581599
Sunshine Place Singapore,103.739034,1.3782168
Teck Whye Shopping Centre Singapore,103.7523181,1.3811374
West Mall Singapore,103.749223,1.3500565
Yew Tee Point Singapore,103.7468352,1.39716
Yew Tee Square Singapore,103.7468974,1.3980053
VivoCity Singapore,103.8222071,1.2644032
HarbourFront Centre Singapore,103.8200727,1.2643689
Alexandra Retail Centre Singapore,103.8015008,1.2739139
321 Clementi Singapore,103.765006,1.311991
The Clementi Mall Singapore,103.7643089,1.314918
IMM Singapore,103.7468395,1.3348154
JCube Singapore,103.7401991,1.3333104
Jem Singapore,103.7437122,1.3334945
Westgate Singapore,103.7426077,1.3345013
Jurong Point Singapore,103.7067297,1.3397443
Pioneer Mall Singapore,103.6973858,1.3418699
The Star Vista Singapore,103.7883997,1.3068072
Alexandra Central Singapore,103.8052016,1.2873768
Anchorpoint Singapore,103.8050762,1.2887706
OD Mall Singapore,103.7934418,1.3380084
Boon Lay Shopping Centre Singapore,103.7125345,1.3468433
Grantral Mall Singapore,103.7651586,1.3142983
Fairprice Hub Singapore,103.678899,1.3266567
Gek Poh Shopping Centre Singapore,103.6974711,1.3487594
Rochester Mall Singapore,103.7882008,1.3055784
Taman Jurong Shopping Centre Singapore,103.7204943,1.334643
West Coast Plaza Singapore,103.7659312,1.303702
Queensway Shopping Centre Singapore,103.8034685,1.2875526
