id,lon,lat
Block 102A PUNGGOL FIELD Singapore,103.9059,1.398897
Block 102B PUNGGOL FIELD Singapore,103.9053,1.399242
Block 102C PUNGGOL FIELD Singapore,103.905,1.398818
Block 102D PUNGGOL FIELD Singapore,103.9053,1.398365
Block 103 AH HOOD RD Singapore,103.8443,1.327714
Block 103 ANG MO KIO AVE 3 Singapore,103.8393,1.370982
Block 103 BEDOK NTH AVE 4 Singapore,103.9375,1.333434
Block 103 BEDOK RESERVOIR RD Singapore,103.9095,1.328766
Block 103 BISHAN ST 12 Singapore,103.8483,1.345514
Block 103 BT BATOK CTRL Singapore,103.7481,1.348223
Block 103 BT PURMEI RD Singapore,103.8260191,1.2721228
Block 103 CLEMENTI ST 14 Singapore,103.7688807,1.3226876
Block 103 GANGSA RD Singapore,103.7685,1.378728
Block 103 HENDERSON CRES Singapore,103.8215,1.289816
Block 103 HOUGANG AVE 1 Singapore,103.8905,1.355373
Block 103 JLN RAJAH Singapore,103.8528283,1.3274024
Block 103 JURONG EAST ST 13 Singapore,103.738013,1.3367082
Block 103 LENGKONG TIGA Singapore,103.9107,1.325901
Block 103 PASIR RIS ST 12 Singapore,103.9587,1.366571
Block 103 POTONG PASIR AVE 1 Singapore,103.8695,1.334125
Block 103 RIVERVALE WALK Singapore,103.9016,1.381854
Block 103 SERANGOON NTH AVE 1 Singapore,103.8701,1.370654
Block 103 SPOTTISWOODE PK RD Singapore,103.8353,1.274734
Block 103 TAMPINES ST 11 Singapore,103.9462,1.347654
Block 103 TECK WHYE LANE Singapore,103.7529,1.377044
Block 103 TOWNER RD Singapore,103.8616,1.320672
Block 103 WOODLANDS ST 13 Singapore,103.781,1.436601
Block 103 YISHUN RING RD Singapore,103.8289,1.431902
Block 103A DEPOT RD Singapore,103.813436,1.2808099
Block 103A EDGEFIELD PLAINS Singapore,103.9048,1.398292
Block 103B DEPOT RD Singapore,103.8131,1.280812
Block 103B EDGEFIELD PLAINS Singapore,103.9047,1.397852
Block 103C EDGEFIELD PLAINS Singapore,103.9046,1.397414
Block 104 ALJUNIED CRES Singapore,103.8828,1.3201
Block 104 BEDOK NTH AVE 4 Singapore,103.9365513,1.333295
Block 104 BEDOK RESERVOIR RD Singapore,103.9098,1.329276
Block 104 BISHAN ST 12 Singapore,103.848,1.345674
Block 104 BT BATOK CTRL Singapore,103.7473,1.348994
