lon,lat,id
103.8491762,1.2959958,1
103.8495658,1.2963069,2
103.6786097,1.344691,3
103.855824,1.3759954,4
103.8510497,1.3764076,5
103.8512102,1.3784341,6
103.850391,1.3799696,7
103.8509609,1.3840104,8
103.8492804,1.3851931,9
103.8491251,1.3844549,10
103.8486738,1.3832897,11
103.8474662,1.3812401,12
103.846647,1.3802032,13
103.8470784,1.3796689,14
103.8473436,1.3792731,15
103.8476483,1.3786715,16
103.8477749,1.3783628,17
103.8478976,1.3779671,18
103.8479807,1.3774051,19
103.8480441,1.376946,20
103.8481588,1.3768827,21
103.8487723,1.3767244,22
103.8494965,1.3765819,23
103.8499779,1.3765227,24
103.8511416,1.3774006,25
103.8484824,1.2979834,26
103.848581,1.2978246,27
103.8485404,1.2977749,28
103.8489981,1.2974031,29
103.8493457,1.2978366,30
103.8487199,1.2983546,31
103.8495218,1.2976949,32
103.8499724,1.2973229,33
103.8497634,1.2971882,34
103.8495901,1.2973319,35
103.8495641,1.2971667,36
103.8493213,1.2971392,37
103.8492655,1.2972861,38
103.8494406,1.2975964,39
103.8501179,1.2966241,40
103.8501988,1.2965909,41
103.8501636,1.2963748,42
103.8501216,1.2963285,43
103.8501849,1.29627,44
103.8503515,1.2964206,45
103.8505176,1.2963009,46
103.8501929,1.29593,47
103.8498491,1.2961865,48
103.8497623,1.2963248,49
103.8498289,1.2964243,50
103.780496,1.3016853,51
103.851898,1.2966104,52
103.8516667,1.2963325,53
103.6811969,1.3454572,54
103.6809227,1.3454561,55
103.6809226,1.3450526,56
103.6805558,1.3450558,57
103.6805578,1.3474955,58
103.6805672,1.3476015,59
103.6806853,1.3477785,60
103.6808126,1.3478281,61
103.6810165,1.3477946,62
103.6810674,1.347757,63
103.6811865,1.3475477,64
103.6807048,1.3437107,65
103.6819937,1.3424628,66
103.6821516,1.3423244,67
103.6823075,1.3423213,68
103.6824406,1.342378,69
103.6825435,1.3425794,70
103.6825084,1.34276,71
103.6824288,1.3428687,72
103.6813422,1.3439351,73
103.6812641,1.3438572,74
103.6810605,1.3440625,75
103.6822545,1.3430403,76
103.6820998,1.3431909,77
103.6816201,1.3436617,78
103.6814793,1.3438011,79
103.6834767,1.3442956,80
103.6826824,1.3450152,81
103.6810631,1.3421193,82
103.6815238,1.3416783,83
103.6817866,1.3415321,84
103.6822167,1.3414493,85
103.6822559,1.3418321,86
103.6823976,1.3418426,87
103.6826413,1.3419321,88
103.6828842,1.3421196,89
103.6826425,1.3423502,90
103.6823817,1.3421343,91
103.6820496,1.3421505,92
103.6817855,1.3423447,93
103.681552,1.3425708,94
103.6808593,1.3435568,95
