"","add","lon","lat"
"118","Oasis Terraces Singapore",103.9132022,1.4023703
"119","Punggol Plaza Singapore",103.913016,1.394228
"120","Rivervale Mall Singapore",103.9044463,1.3922624
"121","Rivervale Plaza Singapore",103.9018653,1.385387
"122","The Seletar Mall Singapore",103.8760834,1.3915208
"123","Buangkok Square Singapore",103.8819612,1.3847829
"124","Upper Serangoon Shopping Centre Singapore",103.8786057,1.3539639
"125","Beauty World Centre Singapore",103.7763425,1.342311
"126","Beauty World Plaza Singapore",103.7763341,1.341779
"127","Bukit Panjang Plaza Singapore",103.7642339,1.3800396
"128","Bukit Timah Plaza Singapore",103.7786758,1.3387468
"129","Fajar Shopping Centre Singapore",103.7705214,1.3838672
"130","Greenridge Shopping Centre Singapore",103.7663598,1.3854081
"131","Hillion Mall Singapore",103.7632117,1.3784819
"132","HillV2 Singapore",103.7643204,1.363354
"133","Junction 10 Singapore",103.7601697,1.3803079
"134","Keat Hong Shopping Centre Singapore",103.7445833,1.3769332
"135","Limbang Shopping Centre Singapore",103.7433578,1.3920533
"136","Lot One Singapore",103.7449142,1.3851169
"137","Rail Mall Singapore",103.7678472,1.3581599
"138","Sunshine Place Singapore",103.739034,1.3782168
"139","Teck Whye Shopping Centre Singapore",103.7523181,1.3811374
"140","West Mall Singapore",103.749223,1.3500565
"141","Yew Tee Point Singapore",103.7468352,1.39716
"142","Yew Tee Square Singapore",103.7468974,1.3980053
"143","VivoCity Singapore",103.8222071,1.2644032
"144","HarbourFront Centre Singapore",103.8200727,1.2643689
"145","Alexandra Retail Centre Singapore",103.8015008,1.2739139
"146","321 Clementi Singapore",103.765006,1.311991
"147","The Clementi Mall Singapore",103.7643089,1.314918
"148","IMM Singapore",103.7468395,1.3348154
"149","JCube Singapore",103.7401991,1.3333104
"150","Jem Singapore",103.7437122,1.3334945
"151","Westgate Singapore",103.7426077,1.3345013
"152","Jurong Point Singapore",103.7067297,1.3397443
"153","Pioneer Mall Singapore",103.6973858,1.3418699
"154","The Star Vista Singapore",103.7883997,1.3068072
"155","Alexandra Central Singapore",103.8052016,1.2873768
"156","Anchorpoint Singapore",103.8050762,1.2887706
"157","OD Mall Singapore",103.7934418,1.3380084
"158","Boon Lay Shopping Centre Singapore",103.7125345,1.3468433
"159","Grantral Mall Singapore",103.7651586,1.3142983
"160","Fairprice Hub Singapore",103.678899,1.3266567
"161","Gek Poh Shopping Centre Singapore",103.6974711,1.3487594
"162","Rochester Mall Singapore",103.7882008,1.3055784
"163","Taman Jurong Shopping Centre Singapore",103.7204943,1.334643
"164","West Coast Plaza Singapore",103.7659312,1.303702
"165","Queensway Shopping Centre Singapore",103.8034685,1.2875526
